state, expenditure
"United States","$3406"
"Alabama","$3336"
"Alaska","$3411"
"Arizona","$2801"
"Arkansas","$3039"
"California","$3130"
"Colorado","$3026"
"Connecticut","$4237"
"Delaware","$3741"
"District of Columbia","$5873"
"Florida","$3709"
"Georgia","$3149"
"Hawaii","$3527"
"Idaho","$2710"
"Illinois","$3476"
"Indiana","$3174"
"Iowa","$3357"
"Kansas","$3391"
"Kentucky","$3182"
"Louisiana","$3438"
"Maine","$3518"
"Maryland","$3566"
"Massachusetts","$4297"
"Michigan","$3463"
"Minnesota","$3514"
"Mississippi","$3034"
"Missouri","$3342"
"Montana","$2908"
"Nebraska","$3181"
"Nevada","$2862"
"New Hampshire","$3374"
"New Jersey","$3855"
"New Mexico","$2905"
"New York","$4215"
"North Carolina","$3157"
"North Dakota","$3636"
"Ohio","$3536"
"Oklahoma","$3171"
"Oregon","$2935"
"Pennsylvania","$3813"
"Rhode Island","$3869"
"South Carolina","$3026"
"South Dakota","$3280"
"Tennessee","$3434"
"Texas","$3017"
"Utah","$2492"
"Vermont","$3189"
"Virginia","$2956"
"Washington","$3081"
"West Virginia","$3638"
"Wisconsin","$3385"
"Wyoming","$3024"
