,state,expend,year
0,United States,8045,2014
1,Alabama,7281,2014
2,Alaska,11064,2014
3,Arizona,6452,2014
4,Arkansas,7408,2014
5,California,7549,2014
6,Colorado,6804,2014
7,Connecticut,9859,2014
8,Delaware,10254,2014
9,District of Columbia,11944,2014
10,Florida,8076,2014
11,Georgia,6587,2014
12,Hawaii,7299,2014
13,Idaho,6927,2014
14,Illinois,8262,2014
15,Indiana,8300,2014
16,Iowa,8200,2014
17,Kansas,7651,2014
18,Kentucky,8004,2014
19,Louisiana,7815,2014
20,Maine,9531,2014
21,Maryland,8602,2014
22,Massachusetts,10559,2014
23,Michigan,8055,2014
24,Minnesota,8871,2014
25,Mississippi,7646,2014
26,Missouri,8107,2014
27,Montana,8221,2014
28,Nebraska,8412,2014
29,Nevada,6714,2014
30,New Hampshire,9589,2014
31,New Jersey,8859,2014
32,New Mexico,7214,2014
33,New York,9778,2014
34,North Carolina,7264,2014
35,North Dakota,9851,2014
36,Ohio,8712,2014
37,Oklahoma,7627,2014
38,Oregon,8044,2014
39,Pennsylvania,9258,2014
40,Rhode Island,9551,2014
41,South Carolina,7311,2014
42,South Dakota,8933,2014
43,Tennessee,7372,2014
44,Texas,6998,2014
45,Utah,5982,2014
46,Vermont,10190,2014
47,Virginia,7556,2014
48,Washington,7913,2014
49,West Virginia,9462,2014
50,Wisconsin,8702,2014
51,Wyoming,8320,2014
0,United States,7703,2013
1,Alabama,6996,2013
2,Alaska,10428,2013
3,Arizona,6262,2013
4,Arkansas,6929,2013
5,California,7256,2013
6,Colorado,6472,2013
7,Connecticut,9517,2013
8,Delaware,9766,2013
9,District of Columbia,11466,2013
10,Florida,7688,2013
11,Georgia,6249,2013
12,Hawaii,6955,2013
13,Idaho,6593,2013
14,Illinois,7911,2013
15,Indiana,7923,2013
16,Iowa,7806,2013
17,Kansas,7429,2013
18,Kentucky,7543,2013
19,Louisiana,7487,2013
20,Maine,9133,2013
21,Maryland,8250,2013
22,Massachusetts,10273,2013
23,Michigan,7745,2013
24,Minnesota,8465,2013
25,Mississippi,7362,2013
26,Missouri,7860,2013
27,Montana,7994,2013
28,Nebraska,8133,2013
29,Nevada,6275,2013
30,New Hampshire,9369,2013
31,New Jersey,8444,2013
32,New Mexico,6860,2013
33,New York,9351,2013
34,North Carolina,7027,2013
35,North Dakota,9385,2013
36,Ohio,8286,2013
37,Oklahoma,7293,2013
38,Oregon,7467,2013
39,Pennsylvania,8877,2013
40,Rhode Island,9160,2013
41,South Carolina,7020,2013
42,South Dakota,8547,2013
43,Tennessee,7106,2013
44,Texas,6661,2013
45,Utah,5658,2013
46,Vermont,9919,2013
47,Virginia,7306,2013
48,Washington,7609,2013
49,West Virginia,8969,2013
50,Wisconsin,8189,2013
51,Wyoming,7961,2013
0,United States,7535,2012
1,Alabama,6821,2012
2,Alaska,10130,2012
3,Arizona,6183,2012
4,Arkansas,6804,2012
5,California,7018,2012
6,Colorado,6306,2012
7,Connecticut,9300,2012
8,Delaware,9433,2012
9,District of Columbia,11223,2012
10,Florida,7635,2012
11,Georgia,6009,2012
12,Hawaii,6803,2012
13,Idaho,6380,2012
14,Illinois,7665,2012
15,Indiana,7848,2012
16,Iowa,7648,2012
17,Kansas,7477,2012
18,Kentucky,7289,2012
19,Louisiana,7303,2012
20,Maine,9001,2012
21,Maryland,8115,2012
22,Massachusetts,10071,2012
23,Michigan,7637,2012
24,Minnesota,8177,2012
25,Mississippi,7369,2012
26,Missouri,7758,2012
27,Montana,7645,2012
28,Nebraska,7979,2012
29,Nevada,6026,2012
30,New Hampshire,9048,2012
31,New Jersey,8269,2012
32,New Mexico,6771,2012
33,New York,9076,2012
34,North Carolina,7073,2012
35,North Dakota,8977,2012
36,Ohio,8072,2012
37,Oklahoma,7175,2012
38,Oregon,7119,2012
39,Pennsylvania,8632,2012
40,Rhode Island,8961,2012
41,South Carolina,6853,2012
42,South Dakota,8335,2012
43,Tennessee,7007,2012
44,Texas,6559,2012
45,Utah,5543,2012
46,Vermont,9302,2012
47,Virginia,7145,2012
48,Washington,7461,2012
49,West Virginia,8764,2012
50,Wisconsin,8061,2012
51,Wyoming,7833,2012
0,United States,7292,2011
1,Alabama,6541,2011
2,Alaska,9586,2011
3,Arizona,6076,2011
4,Arkansas,6585,2011
5,California,6737,2011
6,Colorado,6129,2011
7,Connecticut,8950,2011
8,Delaware,9213,2011
9,District of Columbia,11281,2011
10,Florida,7408,2011
11,Georgia,5713,2011
12,Hawaii,6527,2011
13,Idaho,6135,2011
14,Illinois,7429,2011
15,Indiana,7286,2011
16,Iowa,7416,2011
17,Kansas,7152,2011
18,Kentucky,7142,2011
19,Louisiana,7161,2011
20,Maine,8824,2011
21,Maryland,7937,2011
22,Massachusetts,9818,2011
23,Michigan,7406,2011
24,Minnesota,7968,2011
25,Mississippi,6833,2011
26,Missouri,7441,2011
27,Montana,7301,2011
28,Nebraska,7715,2011
29,Nevada,5959,2011
30,New Hampshire,8766,2011
31,New Jersey,7947,2011
32,New Mexico,6567,2011
33,New York,9016,2011
34,North Carolina,6808,2011
35,North Dakota,8758,2011
36,Ohio,7652,2011
37,Oklahoma,6921,2011
38,Oregon,6971,2011
39,Pennsylvania,8432,2011
40,Rhode Island,8782,2011
41,South Carolina,6707,2011
42,South Dakota,8065,2011
43,Tennessee,6742,2011
44,Texas,6328,2011
45,Utah,5341,2011
46,Vermont,8874,2011
47,Virginia,6877,2011
48,Washington,7119,2011
49,West Virginia,8268,2011
50,Wisconsin,7971,2011
51,Wyoming,7554,2011
0,United States,7094,2010
1,Alabama,6421,2010
2,Alaska,9129,2010
3,Arizona,6027,2010
4,Arkansas,6412,2010
5,California,6480,2010
6,Colorado,5979,2010
7,Connecticut,8863,2010
8,Delaware,8822,2010
9,District of Columbia,10876,2010
10,Florida,7301,2010
11,Georgia,5554,2010
12,Hawaii,6496,2010
13,Idaho,5999,2010
14,Illinois,7253,2010
15,Indiana,6987,2010
16,Iowa,7177,2010
17,Kansas,6858,2010
18,Kentucky,6898,2010
19,Louisiana,7227,2010
20,Maine,8539,2010
21,Maryland,7748,2010
22,Massachusetts,9619,2010
23,Michigan,7121,2010
24,Minnesota,7782,2010
25,Mississippi,6642,2010
26,Missouri,7114,2010
27,Montana,7034,2010
28,Nebraska,7524,2010
29,Nevada,5790,2010
30,New Hampshire,8466,2010
31,New Jersey,7778,2010
32,New Mexico,6439,2010
33,New York,8795,2010
34,North Carolina,6615,2010
35,North Dakota,8325,2010
36,Ohio,7525,2010
37,Oklahoma,6648,2010
38,Oregon,6729,2010
39,Pennsylvania,8121,2010
40,Rhode Island,8569,2010
41,South Carolina,6554,2010
42,South Dakota,7704,2010
43,Tennessee,6626,2010
44,Texas,6162,2010
45,Utah,5171,2010
46,Vermont,8488,2010
47,Virginia,6610,2010
48,Washington,6981,2010
49,West Virginia,7960,2010
50,Wisconsin,7709,2010
51,Wyoming,7301,2010
0,United States,6892,2009
1,Alabama,6325,2009
2,Alaska,8745,2009
3,Arizona,5874,2009
4,Arkansas,6238,2009
5,California,6210,2009
6,Colorado,5882,2009
7,Connecticut,8740,2009
8,Delaware,8405,2009
9,District of Columbia,10439,2009
10,Florida,7134,2009
11,Georgia,5513,2009
12,Hawaii,6542,2009
13,Idaho,5700,2009
14,Illinois,6917,2009
15,Indiana,6791,2009
16,Iowa,6946,2009
17,Kansas,6764,2009
18,Kentucky,6698,2009
19,Louisiana,6958,2009
20,Maine,8359,2009
21,Maryland,7507,2009
22,Massachusetts,9417,2009
23,Michigan,6816,2009
24,Minnesota,7521,2009
25,Mississippi,6615,2009
26,Missouri,6902,2009
27,Montana,6701,2009
28,Nebraska,7193,2009
29,Nevada,5700,2009
30,New Hampshire,8134,2009
31,New Jersey,7727,2009
32,New Mexico,6214,2009
33,New York,8542,2009
34,North Carolina,6533,2009
35,North Dakota,7919,2009
36,Ohio,7322,2009
37,Oklahoma,6504,2009
38,Oregon,6484,2009
39,Pennsylvania,7701,2009
40,Rhode Island,8393,2009
41,South Carolina,6363,2009
42,South Dakota,7335,2009
43,Tennessee,6499,2009
44,Texas,6004,2009
45,Utah,5101,2009
46,Vermont,8111,2009
47,Virginia,6452,2009
48,Washington,6838,2009
49,West Virginia,7772,2009
50,Wisconsin,7512,2009
51,Wyoming,6972,2009
0,United States,6612,2008
1,Alabama,6097,2008
2,Alaska,8447,2008
3,Arizona,5660,2008
