state,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991
United States,8045,7703,7535,7292,7094,6892,6612,6370,6048,5740,5423,5094,4755,4428,4118,3893,3720,3556,3406,3266,3117,2996,2852,2672
Alabama,7281,6996,6821,6541,6421,6325,6097,5928,5755,5545,5252,4994,4511,4168,3932,3714,3601,3540,3336,3163,2991,2854,2716,2535
Alaska,11064,10428,10130,9586,9129,8745,8447,7975,7476,7145,6455,6099,5669,5169,4566,4112,3848,3654,3411,3109,2865,2770,2646,2558
Arizona,6452,6262,6183,6076,6027,5874,5660,5410,5103,4828,4387,4077,3779,3438,3226,3095,2962,2833,2801,2717,2677,2621,2506,2447
Arkansas,7408,6929,6804,6585,6412,6238,6000,5766,5469,5254,4899,4616,4360,4030,3737,3547,3356,3227,3039,2896,2731,2604,2493,2363
California,7549,7256,7018,6737,6480,6210,6038,5776,5397,5107,4781,4489,4126,3838,3578,3464,3372,3192,3130,3056,2993,2940,2839,2673
Colorado,6804,6472,6306,6129,5979,5882,5685,5522,5264,4937,4831,4569,4259,3992,3769,3494,3350,3129,3026,2915,2788,2713,2636,2498
Connecticut,9859,9517,9300,8950,8863,8740,8219,7793,7391,6997,6739,6226,5944,5560,5185,4957,4738,4463,4237,4106,3851,3651,3525,3315
Delaware,10254,9766,9433,9213,8822,8405,8136,7726,7315,6980,6618,6164,5535,5091,4782,4567,4201,4027,3741,3638,3468,3234,3038,2837
District of Columbia,11944,11466,11223,11281,10876,10439,9959,9562,9003,8764,8394,7661,7185,6663,6313,6275,6124,5943,5873,5659,5524,5443,5184,4660
Florida,8076,7688,7635,7408,7301,7134,6854,6585,6284,5957,5690,5336,5027,4745,4461,4157,3975,3866,3709,3547,3433,3312,3153,2949
Georgia,6587,6249,6009,5713,5554,5513,5358,5329,5148,4891,4732,4358,4135,3806,3606,3457,3367,3250,3149,3040,2904,2826,2671,2497
Hawaii,7299,6955,6803,6527,6496,6542,6382,6098,5555,5389,5018,4750,4407,4104,3883,3776,3659,3518,3527,3319,3124,2932,2730,2603
Idaho,6927,6593,6380,6135,5999,5700,5459,5309,5057,4799,4492,4252,4008,3651,3394,3177,3019,2857,2710,2553,2412,2352,2254,2125
Illinois,8262,7911,7665,7429,7253,6917,6653,6454,6034,5690,5362,5080,4795,4465,4187,3936,3788,3623,3476,3340,3202,3062,2918,2729
Indiana,8300,7923,7848,7286,6987,6791,6413,6279,5986,5637,5407,5028,4662,4344,4026,3804,3596,3395,3174,3128,3008,2919,2741,2541
Iowa,8200,7806,7648,7416,7177,6946,6691,6444,6173,5816,5486,5211,4844,4574,4254,4024,3809,3522,3357,3168,3023,2867,2733,2591
Kansas,7651,7429,7477,7152,6858,6764,6589,6352,6040,5786,5489,5149,4853,4556,4247,4004,3785,3578,3391,3217,3034,2873,2765,2613
Kentucky,8004,7543,7289,7142,6898,6698,6360,6201,5977,5668,5405,5086,4828,4473,4172,3835,3597,3424,3182,2989,2798,2697,2575,2385
Louisiana,7815,7487,7303,7161,7227,6958,6618,6292,5944,5433,5262,4917,4561,4289,4048,3909,3723,3601,3438,3329,3203,3051,2862,2647
Maine,9531,9133,9001,8824,8539,8359,8061,7718,7374,7001,6580,6086,5580,5129,4715,4424,4091,3787,3518,3259,2993,2871,2685,2548
Maryland,8602,8250,8115,7937,7748,7507,7200,6907,6530,6064,5737,5380,4985,4604,4239,3994,3754,3702,3566,3407,3293,3123,2951,2786
Massachusetts,10559,10273,10071,9818,9619,9417,9006,8638,8056,7484,7029,6606,6127,5628,5200,4909,4810,4513,4297,4108,3903,3772,3528,3326
Michigan,8055,7745,7637,7406,7121,6816,6517,6254,5924,5528,5239,4867,4551,4287,4048,3845,3698,3625,3463,3291,3097,2937,2789,2663
Minnesota,8871,8465,8177,7968,7782,7521,7230,7038,6663,6332,6025,5692,5319,4898,4524,4201,4008,3703,3514,3355,3157,2954,2802,2698
Mississippi,7646,7362,7369,6833,6642,6615,6422,6175,5792,5387,5091,4708,4415,4087,3728,3434,3328,3222,3034,2850,2632,2475,2310,2174
Missouri,8107,7860,7758,7441,7114,6902,6692,6323,5812,5674,5453,5193,4855,4467,4177,3906,3726,3514,3342,3179,3063,2881,2730,2516
Montana,8221,7994,7645,7301,7034,6701,6373,6083,5743,5432,5061,4795,4463,4208,3858,3592,3349,3157,2908,2850,2654,2589,2508,2355
Nebraska,8412,8133,7979,7715,7524,7193,6981,6663,6374,5956,5596,5223,4873,4562,4143,3790,3554,3333,3181,2958,2825,2677,2552,2375
Nevada,6714,6275,6026,5959,5790,5700,5618,5430,5150,4932,4701,4398,4094,3717,3448,3230,3073,2954,2862,2785,2736,2619,2564,2381
New Hampshire,9589,9369,9048,8766,8466,8134,7574,7194,6733,6271,5732,5227,4818,4522,4245,4015,3769,3527,3374,3146,2888,2772,2681,2457
New Jersey,8859,8444,8269,7947,7778,7727,7319,7098,6727,6434,6006,5679,5387,4990,4741,4382,4224,4027,3855,3749,3548,3346,3197,2956
New Mexico,7214,6860,6771,6567,6439,6214,5916,5572,5258,5021,4603,4218,3992,3717,3459,3320,3172,3063,2905,2740,2569,2487,2396,2240
New York,9778,9351,9076,9016,8795,8542,8098,7872,7518,7096,6783,6388,5884,5480,5086,4855,4617,4378,4215,4021,3836,3648,3435,3205
North Carolina,7264,7027,7073,6808,6615,6533,6213,6014,5853,5559,5265,4900,4578,4363,3957,3670,3441,3339,3157,2959,2785,2621,2444,2263
North Dakota,9851,9385,8977,8758,8325,7919,7439,7010,6573,6205,5880,5524,5324,4836,4418,4165,4023,3769,3636,3490,3220,3027,2891,2688
Ohio,8712,8286,8072,7652,7525,7322,6846,6660,6387,6125,5793,5429,5048,4661,4226,3954,3759,3631,3536,3335,3174,3054,2895,2681
Oklahoma,7627,7293,7175,6921,6648,6504,6366,6033,5680,5366,4971,4751,4360,4106,3765,3569,3401,3265,3171,2996,2800,2632,2539,2366
Oregon,8044,7467,7119,6971,6729,6484,6206,5981,5742,5395,5034,4677,4399,4155,3752,3565,3391,3092,2935,2833,2685,2601,2493,2308
Pennsylvania,9258,8877,8632,8432,8121,7701,7489,7246,6880,6596,6191,5813,5413,5091,4735,4458,4187,4026,3813,3721,3537,3415,3250,3019
Rhode Island,9551,9160,8961,8782,8569,8393,8079,7751,7351,7020,6498,6026,5607,5188,4810,4514,4325,4083,3869,3748,3390,3345,3165,2936
South Carolina,7311,7020,6853,6707,6554,6363,6159,5889,5654,5403,5138,4834,4549,4238,3862,3634,3425,3284,3026,2899,2756,2603,2439,2262
South Dakota,8933,8547,8335,8065,7704,7335,6953,6579,6257,5885,5425,5180,4834,4379,4161,3954,3657,3487,3280,3075,2859,2664,2560,2426
Tennessee,7372,7106,7007,6742,6626,6499,6305,6219,5950,5773,5523,5093,4702,4494,4104,3849,3716,3604,3434,3267,3059,2952,2768,2556
Texas,6998,6661,6559,6328,6162,6004,5758,5495,5276,5060,4679,4451,4256,3941,3656,3496,3329,3204,3017,2871,2719,2653,2531,2355
Utah,5982,5658,5543,5341,5171,5101,4990,4799,4581,4399,4144,3859,3610,3293,3031,2795,2765,2689,2492,2334,2223,2182,2066,1979
Vermont,10190,9919,9302,8874,8488,8111,7623,7295,6934,6568,6134,5739,5169,4722,4342,3950,3618,3393,3189,3045,2784,2634,2481,2340
Virginia,7556,7306,7145,6877,6610,6452,6104,5776,5462,5167,4878,4539,4186,3857,3671,3387,3245,3113,2956,2795,2675,2555,2432,2353
Washington,7913,7609,7461,7119,6981,6838,6487,6128,5729,5450,5127,4867,4528,4171,3870,3681,3422,3168,3081,3013,2847,2751,2685,2522
West Virginia,9462,8969,8764,8268,7960,7772,7326,7086,6706,6396,6034,5643,5258,4887,4471,4234,4045,3865,3638,3457,3236,3054,2856,2597
Wisconsin,8702,8189,8061,7971,7709,7512,7169,6867,6539,6144,5782,5409,5085,4752,4311,4008,3707,3537,3385,3202,3025,2878,2720,2557
Wyoming,8320,7961,7833,7554,7301,6972,6811,6545,6145,5683,5287,4990,4692,4270,3960,3626,3444,3203,3024,2841,2634,2475,2289,2227
