Rank,Geographical Area,Median,Margin of Error
1,Maryland,"68,080",+/-740
2,New Jersey,"67,035",+/-573
3,Connecticut,"65,967",+/-815
4,Alaska,"64,333","+/-1,594"
5,Hawaii,"63,746","+/-1,923"
6,New Hampshire,"62,369","+/-1,147"
7,Massachusetts,"62,365",+/-510
8,California,"59,948",+/-295
9,Virginia,"59,562",+/-589
10,Minnesota,"55,802",+/-605
11,Washington,"55,591",+/-501
12,Colorado,"55,212",+/-650
13,Utah,"55,109",+/-762
14,Nevada,"55,062",+/-936
15,Delaware,"54,610","+/-1,581"
16,District of Columbia,"54,317","+/-1,984"
17,Illinois,"54,124",+/-370
18,Rhode Island,"53,568","+/-1,353"
19,New York,"53,514",+/-349
20,Wyoming,"51,731","+/-1,322"
,United States,"50,740",+/-75
21,Wisconsin,"50,578",+/-364
22,Vermont,"49,907","+/-1,176"
23,Arizona,"49,889",+/-508
24,Georgia,"49,136",+/-488
25,Oregon,"48,730",+/-681
26,Pennsylvania,"48,576",+/-297
27,Michigan,"47,950",+/-386
28,Florida,"47,804",+/-341
29,Texas,"47,548",+/-308
30,Kansas,"47,451",+/-640
31,Indiana,"47,448",+/-378
32,Iowa,"47,292",+/-577
33,Nebraska,"47,085",+/-689
34,Ohio,"46,597",+/-304
35,Idaho,"46,253",+/-755
36,Maine,"45,888",+/-710
37,Missouri,"45,114",+/-489
38,North Carolina,"44,670",+/-432
39,North Dakota,"43,753","+/-1,205"
40,Montana,"43,531","+/-1,028"
41,South Dakota,"43,424",+/-944
42,South Carolina,"43,329",+/-635
43,Tennessee,"42,367",+/-345
44,Oklahoma,"41,567",+/-395
45,New Mexico,"41,452",+/-677
46,Louisiana,"40,926",+/-457
47,Alabama,"40,554",+/-428
48,Kentucky,"40,267",+/-522
49,Arkansas,"38,134",+/-739
50,West Virginia,"37,060",+/-760
51,Mississippi,"36,338",+/-686
,,,
,,,
