Rank,Geographical Area,Dollar,Margin of Error
,United States,"51,371",+/-53
1,Maryland,"71,122",+/-579
2,New Jersey,"69,667",+/-716
3,Alaska,"67,712","+/-1,894"
4,Connecticut,"67,276",+/-865
5,District of Columbia,"66,583","+/-2,040"
6,Hawaii,"66,259","+/-1,628"
7,Massachusetts,"65,339",+/-645
8,New Hampshire,"63,280","+/-1,537"
9,Virginia,"61,741",+/-410
10,Minnesota,"58,906",+/-668
11,Delaware,"58,415","+/-1,593"
12,California,"58,328",+/-354
13,Washington,"57,573",+/-595
14,Utah,"57,049",+/-737
15,Colorado,"56,765",+/-594
16,New York,"56,448",+/-371
17,Illinois,"55,137",+/-408
18,Wyoming,"54,901","+/-1,491"
19,Rhode Island,"54,554","+/-1,789"
20,North Dakota,"53,585","+/-1,546"
21,Vermont,"52,977","+/-1,259"
22,Pennsylvania,"51,230",+/-265
23,Wisconsin,"51,059",+/-321
24,Iowa,"50,957",+/-431
25,Texas,"50,740",+/-267
26,Nebraska,"50,723",+/-577
27,Kansas,"50,241",+/-520
28,Nevada,"49,760",+/-826
29,Oregon,"49,161",+/-807
30,South Dakota,"48,362",+/-974
31,Arizona,"47,826",+/-604
32,Georgia,"47,209",+/-378
33,Indiana,"46,974",+/-421
34,Michigan,"46,859",+/-331
35,Ohio,"46,829",+/-293
36,Maine,"46,709",+/-898
37,Idaho,"45,489",+/-929
38,Missouri,"45,321",+/-418
39,North Carolina,"45,150",+/-391
40,Montana,"45,076","+/-1,092"
41,Florida,"45,040",+/-345
42,Oklahoma,"44,312",+/-462
43,South Carolina,"43,107",+/-660
44,Louisiana,"42,944",+/-680
45,Tennessee,"42,764",+/-579
46,New Mexico,"42,558",+/-902
47,Kentucky,"41,724",+/-419
48,Alabama,"41,574",+/-477
49,West Virginia,"40,196",+/-697
50,Arkansas,"40,112",+/-497
51,Mississippi,"37,095",+/-584
