Rank,Geographical Area,Median,Margin of Error
1,Maryland,"69,272",+/-696
2,New Jersey,"68,342",+/-659
3,Connecticut,"67,034",+/-993
4,Alaska,"66,953","+/-2,331"
5,Hawaii,"64,098","+/-1,574"
6,Massachusetts,"64,081",+/-680
7,New Hampshire,"60,567","+/-1,385"
8,Virginia,"59,330",+/-482
9,District of Columbia,"59,290","+/-1,710"
10,California,"58,931",+/-274
11,Delaware,"56,860","+/-1,744"
12,Washington,"56,548",+/-528
13,Minnesota,"55,616",+/-546
14,Colorado,"55,430",+/-704
15,Utah,"55,117",+/-803
16,New York,"54,659",+/-396
17,Rhode Island,"54,119","+/-1,522"
18,Illinois,"53,966",+/-404
19,Nevada,"53,341",+/-981
20,Wyoming,"52,664","+/-1,877"
21,Vermont,"51,618",+/-950
,United States,"50,221",+/-74
22,Wisconsin,"49,993",+/-405
23,Pennsylvania,"49,520",+/-286
24,Arizona,"48,745",+/-484
25,Oregon,"48,457",+/-623
26,Texas,"48,259",+/-244
27,Iowa,"48,044",+/-426
28,North Dakota,"47,827",+/-995
29,Kansas,"47,817",+/-670
30,Georgia,"47,590",+/-414
31,Nebraska,"47,357",+/-804
32,Maine,"45,734",+/-935
33,Indiana,"45,424",+/-455
34,Ohio,"45,395",+/-350
35,Michigan,"45,255",+/-358
36,Missouri,"45,229",+/-519
37,South Dakota,"45,043","+/-1,214"
38,Idaho,"44,926",+/-953
39,Florida,"44,736",+/-290
40,North Carolina,"43,674",+/-375
41,New Mexico,"43,028","+/-1,033"
42,Louisiana,"42,492",+/-629
43,South Carolina,"42,442",+/-565
44,Montana,"42,322","+/-1,073"
45,Tennessee,"41,725",+/-439
46,Oklahoma,"41,664",+/-502
47,Alabama,"40,489",+/-528
48,Kentucky,"40,072",+/-535
49,Arkansas,"37,823",+/-629
50,West Virginia,"37,435",+/-707
51,Mississippi,"36,646",+/-695
,,,
,,,
