Rank,Geographical Area,Dollar,Margin of Error
,United States,"50,502",+/-73
1,Maryland,"70,004",+/-804
2,Alaska,"67,825","+/-1,948"
3,New Jersey,"67,458",+/-721
4,Connecticut,"65,753",+/-854
5,District of Columbia,"63,124","+/-2,407"
6,Massachusetts,"62,859",+/-902
7,New Hampshire,"62,647","+/-1,415"
8,Virginia,"61,882",+/-507
9,Hawaii,"61,821","+/-1,035"
10,Delaware,"58,814","+/-1,586"
11,California,"57,287",+/-279
12,Minnesota,"56,954",+/-488
13,Washington,"56,835",+/-569
14,Wyoming,"56,322","+/-1,890"
15,Utah,"55,869",+/-805
16,Colorado,"55,387",+/-605
17,New York,"55,246",+/-398
18,Rhode Island,"53,636","+/-1,699"
19,Illinois,"53,234",+/-511
20,Vermont,"52,776","+/-1,420"
21,North Dakota,"51,704","+/-1,260"
22,Wisconsin,"50,395",+/-428
23,Nebraska,"50,296",+/-687
24,Pennsylvania,"50,228",+/-292
25,Iowa,"49,427",+/-693
26,Texas,"49,392",+/-391
27,Kansas,"48,964",+/-756
28,Nevada,"48,927","+/-1,020"
29,South Dakota,"48,321","+/-1,598"
30,Oregon,"46,816",+/-711
31,Arizona,"46,709",+/-554
32,Indiana,"46,438",+/-455
33,Maine,"46,033",+/-802
34,Georgia,"46,007",+/-454
35,Michigan,"45,981",+/-330
36,Ohio,"45,749",+/-319
37,Missouri,"45,247",+/-529
38,Florida,"44,299",+/-406
39,Montana,"44,222","+/-1,078"
40,North Carolina,"43,916",+/-519
41,Idaho,"43,341","+/-1,320"
42,Oklahoma,"43,225",+/-607
43,South Carolina,"42,367",+/-559
44,New Mexico,"41,963",+/-803
45,Louisiana,"41,734",+/-528
46,Tennessee,"41,693",+/-423
47,Alabama,"41,415",+/-550
48,Kentucky,"41,141",+/-464
49,Arkansas,"38,758",+/-761
50,West Virginia,"38,482",+/-875
51,Mississippi,"36,919",+/-583
,,,
,,,
